"RT @SecretFlying: German cities to Bogota, Colombia from only €392 roundtrip with @AirFrance & @KLM #Travel (Jan-May dates)  https://t.co/6…",neutral
@united @British_Airways @airfrance @AFnewsroom @Captain_Sim @Qantas   soap selection ?  https://t.co/NSXj3GKiAF,neutral
Business class flight with @airfrance @Aeromexico. From amsterdam to CDG to mazatlan mexico. Suitcase didn’t arrive… https://t.co/ec3vnteJEP,neutral
@airfrance Dear colleagues I am very much disappointed and feels cheated with recent booking with AF. Booking refer… https://t.co/zs03o3vDBB,negative
@NoliTruck @airfrance Thanks for the support @NoliTruck I finally got my luggage! Can’t wait to get back for some N… https://t.co/b4BFRW0ww6,positive
@nilolan @airfrance Thanks for messaging us. Enjoy the rest of your day!,positive
Day 12 of honeymoon. Still no luggage. Special thank you to @Delta @AirFranceFR @airfrance @AirFranceUK @Alitalia.… https://t.co/cBp9SeHiPw,positive
@nilolan @airfrance Hi! This is Bella in the Delta Baggage Service Center. How may I assist you today? Please respo… https://t.co/fCVpy9zIga,negative
@Delta This is the wonderful airport that @airfrance lost my baggage from my @Delta flight. Two months later and th… https://t.co/k0XR4dswLX,positive
@airfrance @AirFranceUK @AirFranceKLM Any updates?,neutral
"@BeyondType1 Charles de Gaulle airport, France (2009) — Arguing with an @airfrance representative IN FRENCH that it… https://t.co/BJ1WCeIY6l",neutral
@duttoncyclist @LBNdaily @lufthansa @lufthansaNews @KLM_UK @airfrance @AirFranceFR @LPL_Airport Easier said than do… https://t.co/RNN3bx2dMS,neutral
@airfrance Bonjour! Do you require mothers to have a notorized letter from the father if travelling with a child so… https://t.co/CH8wYlNKHX,neutral
"RT @ZemaGebremedhn: “Ethiopia is using its own commercial airline to transfer weapons to Eritrea during #TigrayGenocide""  @IATA @icao @ICAO…",positive
"RT @SecretFlying: #London, UK to Hong Kong for only £333 roundtrip with @AirFrance & @KLM #Travel (Jan-Jun dates)  https://t.co/NwKEKdCXSK…",neutral
"@airfrance Hello, I reached through DM this morning but I have not received any reply from your end. Can you please check ?",neutral
@LBNdaily We should then have better airlines to #Liverpool from airlines like @lufthansa @lufthansaNews and… https://t.co/9aqKwvanw2,positive
"#London, UK to Hong Kong for only £333 roundtrip with @AirFrance & @KLM #Travel (Jan-Jun dates)… https://t.co/IGMPrilf56",neutral
@airfrance My mum’s luggage STILL is not in Paris from Atlanta & it’s been 36 hours! Very unimpressed!,positive
"“Ethiopia is using its own commercial airline to transfer weapons to Eritrea during #TigrayGenocide""  @IATA @icao… https://t.co/CbTY6zJz6Q",positive
"RT @SecretFlying: #Berlin, Germany to Lima, Peru for only €395 roundtrip with @AirFrance #Travel (Jan-Apr dates)  https://t.co/SVPXg2Hpdx h…",neutral
"#Berlin, Germany to Lima, Peru for only €395 roundtrip with @AirFrance #Travel (Jan-Apr dates)… https://t.co/KMbWyL2x8d",neutral
@airfrance @AirFranceKLM @AirFranceUK any updates? https://t.co/VcCAYac23t,neutral
"@airfrance still on hold. 73 minutes and counting. Tried twice to make an account, doesn’t work. You don’t take ema… https://t.co/rZfv2aJ5Bo",neutral
@airfrance I just sent you a DM with all the data and A COMPUTER REPLIED. You really are The Worst #Airline ever !,negative
@airfrance Thanks for your quick reply. DM sent just now. I would appreciate a quick turn around now.,positive
"RT @gebrat_wedi: @nordbergj “Ethiopia is using its own commercial airline to transfer weapons to Eritrea during #TigrayGenocide""  @IATA @ic…",positive
@AirFranceFR @airfrance I need a help! I bought a ticket for me and my wife and I can't ask for a refund.  I want t… https://t.co/wW0XNysqyB,neutral
RT @airlinevideos: Air France Boeing 777-328(ER) Reg: F-GZND Flight AF72 from Paris (CDG) lands on runway 24R at @flylaxairport on August 2…,neutral
"“Ethiopia is using its own commercial airline to transfer weapons to Eritrea during #TigrayGenocide""  @IATA @icao… https://t.co/m0KenA9XNH",positive
"This was awesome. “@LasVegasUK , I need to go to Paris 🇫🇷 the weekend before #ZorkFest for a friend’s big 🎂 birthda… https://t.co/7vkVoILqN4",positive
"RT @gebrat_wedi: “Ethiopia is using its own commercial airline to transfer weapons during #TigrayGenocide"" #TigrayFamine #UNSCActNow  @IATA…",positive
@MaxK_J @RAeSTimR @airfrance @YouTube An excellent choice,positive
"RT @MaxK_J: @RAeSTimR When Bond did fly Concorde, it was @airfrance (to Rio in Moonraker) 😉 pic via @YouTube https://t.co/80JZRsWttw",positive
@MaxK_J @RAeSTimR @airfrance @YouTube At least both engines (Concorde and limo) were Rolls and Royces.,negative
"@RAeSTimR When Bond did fly Concorde, it was @airfrance (to Rio in Moonraker) 😉 pic via @YouTube https://t.co/80JZRsWttw",positive
"RT @gebrat_wedi: “Ethiopia is using its own commercial airline to transfer weapons to Eritrea during #TigrayGenocide""  @IATA @icao @ICAOMID…",positive
@airfrance #WHATALIE. YOU didn't refund my canceled flight since March 2020. #shameonyouAirFrance,neutral
RT @ibgeneral: @airfrance #AirFranceSHAMEONYOU I really need you to send my refund to my new nominated bank account. You made this simple c…,positive
@airfrance #AirFranceSHAMEONYOU I really need you to send my refund to my new nominated bank account. You made this… https://t.co/1QMHVVKxbr,positive
"“Ethiopia is using its own commercial airline to transfer weapons during #TigrayGenocide"" #TigrayFamine #UNSCActNow… https://t.co/kgRuibkzrY",positive
"“Ethiopia is using its own commercial airline to transfer weapons during #TigrayGenocide"" #TigrayFamine #UNSCActNow… https://t.co/ALAuVFPlEE",positive
"RT @gebrat_wedi: “Ethiopia is using its own commercial airline to transfer weapons during #TigrayGenocide"" #TigrayFamine #UNSCActNow @IATA…",positive
"“Ethiopia is using its own commercial airline to transfer weapons during #TigrayGenocide"" #TigrayFamine #UNSCActNow… https://t.co/tWorcLxkTX",positive
"“Ethiopia is using its own commercial airline to transfer weapons during #TigrayGenocide"" #TigrayFamine #UNSCActNow… https://t.co/DpaCwejKB6",positive
"“Ethiopia is using its own commercial airline to transfer weapons during #TigrayGenocide""  @IATA @icao @ICAOMID… https://t.co/SMw5Cg0EzI",positive
"“Ethiopia is using its own commercial airline to transfer weapons to Eritrea during #TigrayGenocide""  @IATA @icao… https://t.co/dZbOvRNcsf",positive
"“Ethiopia is using its own commercial airline to transfer weapons to Eritrea during #TigrayGenocide""  @IATA @icao… https://t.co/BBiUJYs6IK",positive
"“Ethiopia is using its own commercial airline to transfer weapons to Eritrea during #TigrayGenocide""  @IATA @icao… https://t.co/csZJ9id7fU",positive
@airfrance I filled that form out in August,positive
"“Ethiopia is using its own commercial airline to transfer weapons to Eritrea during #TigrayGenocide""  @IATA @icao… https://t.co/gM69ndq5E6",positive
"“Ethiopia is using its own commercial airline to transfer weapons to Eritrea during #TigrayGenocide""  @IATA @icao… https://t.co/24zhiWAUEm",positive
"@nordbergj “Ethiopia is using its own commercial airline to transfer weapons to Eritrea during #TigrayGenocide""… https://t.co/RQYNZe83oc",positive
"Hi, I'm doing online checking now, it shows that I can't Code:020.1195 @AirFranceAR @AirFranceFR @airfrance",neutral
"@scottygib @CorkAirport @Ryanair @AerLingus Luckily @airfrance are back with 2 daily flights from Apr 22, there'll… https://t.co/qqoguUD7Vx",positive
@AirFranceFR @airfrance @AirFranceUS @AirFranceUK Who will be coming with this US citizen to the Moroccan courts be… https://t.co/tx8CygxzCp,neutral
@AirFranceFR @airfrance @AirFranceUS @AirFranceUK Missing my sister's wedding because of incompetence. WRCZZR - no… https://t.co/swlxKGSzCC,negative
"@AirFranceFR @airfrance @AirFranceUS @AirFranceUK AF stole $650 from me for reservation: WRCZZR. No ticket issued,… https://t.co/BYnmNPoLjJ",neutral
"RT @SecretFlying: #Frankfurt, Germany to Johannesburg, South Africa for only €360 roundtrip with @AirFrance #Travel (Dec-May dates)  https:…",neutral
"#Frankfurt, Germany to Johannesburg, South Africa for only €360 roundtrip with @AirFrance #Travel (Dec-May dates)… https://t.co/Z0waW480H6",neutral
"RT @sandeeprrao1991: Welcome back to #Bengaluru, @airfrance Airbus A350! Good to see you, once again♥️🤩  #Avgeek #BLR #CDG #AF194 #KIA #BLR…",positive
RT @nilolan: Coming up on the two month anniversary of @airfrance  @AirFranceUS losing my luggage and they still haven't bothered to respon…,neutral
@airfrance I have sent you a Dm. The return flight have been cancelled without notifying me and I cannot change boo… https://t.co/SwEicAmndo,neutral
I want to thank the @airfrance agent who worked hard up to the closing of the gate in Paris to get me on my flight.… https://t.co/GzUtmPWyOA,negative
@airfrance can you please be a professional.I made a voucher refund request since 19th of September and not a singl… https://t.co/iMe4d4ZPQb,positive
"RT @Amaka08474711: @AirFranceNG @airfrance @AirFranceKLM Impossible to reach your contact numbers, how do I get my NGN (Naira) fare so I ca…",negative
@sandeeprrao1991 @landais_cedric @airfrance Hello BLR ! happy too,positive
"@AirFranceNG @airfrance @AirFranceKLM Impossible to reach your contact numbers, how do I get my NGN (Naira) fare so… https://t.co/Yd7d38zmWj",negative
"Sunrise at Le Castellet, France. Image shot with @NikonFR @NikonEurope equipment. Edited with @Adobe Photoshop 2021… https://t.co/EvWR3XTTkn",neutral
@airfrance Hi! Can I travel with my medications? Like insulin? @airfrance,neutral
@UnitedAirlines_ @staralliance @lufthansa @lufthansaNews @airfrance @JetBlue @SouthwestAir @Delta @AmericanAir… https://t.co/cSg1vPA4bp,neutral
"@airfrance I booked a ticket with Air France to travel to Douala, Cameroon. I've been trying to add bags to my trip… https://t.co/4XJBB5gpOw",neutral
@Rksoni41 @airfrance We regret the inconvenience caused to you. Kindly share your baggage tag/ reference details vi… https://t.co/eWWsr6B6As,positive
@airfrance STOP TRANSPORTING MONKEYS TO BE TORTURED IN TESTING LABS,neutral
seriously @airfrance ???  lock tampered and most articles missing!? https://t.co/ht683BnS5y,negative
@BamBamBambrick @blhorowitz @ChristosArgyrop @Delta @airfrance I had the same problem with a different airline. So… https://t.co/2GH6oalV4H,neutral
"@francediplo_EN @franceintheus @airfrance @EmmanuelMacron This will be a very hard week, my monthly allotment of ca… https://t.co/OLaYZnm9s5",negative
